,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
1967,uriah,2,28,9.567132973993074,0.0,1.0,0.0
423,mourning,2,74,10.96923141756442,1.0,0.0,0.0
1864,ben,2,32,9.75977805193547,0.0,1.0,0.0
3018,bereave,2,6,7.344740552656626,1.0,0.0,0.0
33,givest,2,20,9.081706146822834,0.0,1.0,0.0
420,gibeah,2,48,10.344740552656626,0.0,1.0,0.0
1282,imprisonment,2,3,6.344740552656625,0.0,1.0,0.0
534,belied,2,1,4.75977805193547,0.0,1.0,0.0
1382,arrogancy,2,4,6.759778051935471,0.0,1.0,0.0
4308,gerahs,2,5,7.081706146822833,0.0,1.0,0.0
2841,blast,2,13,8.460217770076563,0.0,1.0,0.0
197,paw,2,2,5.75977805193547,0.0,1.0,0.0
1290,imagery,2,2,5.75977805193547,0.0,1.0,0.0
4343,posterity,2,17,8.847240893185809,0.0,1.0,0.0
1877,memory,2,12,8.344740552656626,0.0,1.0,0.0
1388,rideth,2,7,7.567132973993075,0.0,1.0,0.0
4870,perazim,2,5,7.081706146822833,0.0,1.0,0.0
196,refreshing,2,2,5.75977805193547,0.0,1.0,0.0
2997,noonday,2,10,8.081706146822834,0.0,1.0,0.0
1955,yonder,2,7,7.567132973993075,0.0,1.0,0.0
525,gourd,2,5,7.081706146822833,0.0,1.0,0.0
1293,hitherto,2,20,9.081706146822834,0.0,1.0,0.0
4830,undefiled,2,15,8.666668647543988,0.0,1.0,0.0
3001,reconciliation,2,12,8.344740552656626,0.0,1.0,0.0
3002,clave,2,14,8.567132973993075,0.0,1.0,0.0
1283,sodomites,2,6,7.344740552656626,0.0,1.0,0.0
3003,naamathite,2,4,6.759778051935471,0.0,1.0,0.0
4309,proverb,2,22,9.219209670572768,0.0,1.0,0.0
3949,shittim,2,33,9.804172171293922,1.0,0.0,0.0
67,strengtheneth,2,8,7.759778051935471,0.0,1.0,0.0
2867,discovered,2,26,9.460217770076563,0.0,1.0,0.0
2968,bond,2,19,9.007705565379055,0.0,1.0,0.0
1936,usury,2,24,9.344740552656626,0.0,1.0,0.0
3404,anathoth,2,17,8.847240893185809,0.0,1.0,0.0
2891,pleadeth,2,3,6.344740552656625,0.0,1.0,0.0
1641,begin,2,50,10.403634241710193,0.0,1.0,0.0
2890,uttermost,2,29,9.617759047063043,0.0,1.0,0.0
4510,hardly,2,11,8.219209670572768,0.0,1.0,0.0
3592,stature,2,21,9.15209547471423,0.0,1.0,0.0
999,armoury,2,3,6.344740552656625,0.0,1.0,0.0
3405,sooner,2,6,7.344740552656626,0.0,1.0,0.0
4328,thomas,2,12,8.344740552656626,0.0,1.0,0.0
2967,tabor,2,12,8.344740552656626,0.0,1.0,0.0
3587,enlightening,2,1,4.75977805193547,0.0,0.0,1.0
1862,hanged,2,39,10.045180270797719,0.0,1.0,0.0
2928,eglon,2,13,8.460217770076563,0.0,1.0,0.0
4511,deliveredst,2,4,6.759778051935471,0.0,1.0,0.0
3988,burdens,2,27,9.514665554098938,1.0,0.0,0.0
4330,misery,2,15,8.666668647543988,1.0,0.0,0.0
3989,minds,2,22,9.219209670572768,0.0,1.0,0.0
1906,honoureth,2,14,8.567132973993075,0.0,1.0,0.0
503,release,2,24,9.344740552656626,0.0,1.0,0.0
3978,uphold,2,8,7.759778051935471,0.0,1.0,0.0
4660,defraud,2,8,7.759778051935471,0.0,1.0,0.0
1402,considereth,2,11,8.219209670572768,0.0,1.0,0.0
1015,persis,2,1,4.75977805193547,0.0,1.0,0.0
4656,nets,2,13,8.460217770076563,0.0,1.0,0.0
2906,jezreel,2,36,9.929703053377782,0.0,1.0,0.0
1922,ditches,2,1,4.75977805193547,0.0,1.0,0.0
4657,wentest,2,14,8.567132973993075,0.0,1.0,0.0
2909,boldness,2,16,8.75977805193547,0.0,0.0,1.0
1920,rephaim,2,6,7.344740552656626,0.0,1.0,0.0
2911,mysteries,2,9,7.929703053377782,0.0,1.0,0.0
1404,desolations,2,11,8.219209670572768,0.0,1.0,0.0
1931,uzza,2,11,8.219209670572768,0.0,1.0,0.0
3683,avouched,2,2,5.75977805193547,0.0,1.0,0.0
1932,kneeled,2,8,7.759778051935471,0.0,1.0,0.0
3637,skin,2,78,11.045180270797719,0.0,1.0,0.0
2896,feeble,2,25,9.403634241710195,1.0,0.0,0.0
487,admonish,2,10,8.081706146822834,0.0,1.0,0.0
1635,sacrificeth,2,8,7.759778051935471,0.0,1.0,0.0
2917,hanani,2,11,8.219209670572768,0.0,1.0,0.0
2933,sheminith,2,3,6.344740552656625,0.0,1.0,0.0
2934,widows,2,29,9.617759047063043,0.0,1.0,0.0
1940,departing,2,14,8.567132973993075,0.0,1.0,0.0
2953,southward,2,24,9.344740552656626,0.0,1.0,0.0
77,bedchamber,2,11,8.219209670572768,0.0,1.0,0.0
3969,fenced,2,40,10.081706146822832,0.0,1.0,0.0
462,operations,2,2,5.75977805193547,0.0,1.0,0.0
2957,pricks,2,3,6.344740552656625,1.0,0.0,0.0
3998,zichri,2,12,8.344740552656626,0.0,1.0,0.0
3705,aright,2,15,8.666668647543988,0.0,1.0,0.0
995,rebukes,2,3,6.344740552656625,0.0,1.0,0.0
3594,eliab,2,22,9.219209670572768,0.0,1.0,0.0
3967,surname,2,9,7.929703053377782,0.0,1.0,0.0
516,merom,2,2,5.75977805193547,0.0,1.0,0.0
4841,hewed,2,14,8.567132973993075,0.0,1.0,0.0
4505,withdrawn,2,7,7.567132973993075,0.0,1.0,0.0
4859,reproofs,2,3,6.344740552656625,0.0,1.0,0.0
1414,spent,2,24,9.344740552656626,0.0,1.0,0.0
1185,best,2,37,9.96923141756442,0.0,0.0,1.0
4559,branch,2,37,9.96923141756442,0.0,1.0,0.0
448,hungred,2,9,7.929703053377782,0.0,1.0,0.0
3970,hephzi,2,2,5.75977805193547,0.0,1.0,0.0
4651,withhold,2,10,8.081706146822834,0.0,1.0,0.0
2880,provocation,2,8,7.759778051935471,0.0,1.0,0.0
514,rearing,2,1,4.75977805193547,0.0,1.0,0.0
1021,departeth,2,9,7.929703053377782,0.0,1.0,0.0
509,dung,2,33,9.804172171293922,0.0,1.0,0.0
473,thirsty,2,24,9.344740552656626,0.0,1.0,0.0
1399,omri,2,18,8.929703053377782,0.0,1.0,0.0
1904,tithe,2,14,8.567132973993075,0.0,1.0,0.0
4331,ignorantly,2,5,7.081706146822833,1.0,0.0,0.0
1941,deserts,2,8,7.759778051935471,0.0,1.0,0.0
1634,shot,2,22,9.219209670572768,0.0,1.0,0.0
2941,filthiness,2,18,8.929703053377782,0.0,1.0,0.0
1944,gain,2,35,9.889061068880435,0.0,0.0,1.0
1023,herewith,2,3,6.344740552656625,0.0,1.0,0.0
4953,move,2,16,8.75977805193547,0.0,1.0,0.0
1899,meribah,2,7,7.567132973993075,0.0,1.0,0.0
4653,outmost,2,4,6.759778051935471,0.0,1.0,0.0
3685,edrei,2,8,7.759778051935471,0.0,1.0,0.0
1030,custom,2,29,9.617759047063043,0.0,1.0,0.0
